model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR2-533 Value M2U25664TUH4A0F-37B,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-10,,Nanya,,Nanya AF-37B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Value M2U51264TU88A0F-37B,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-10,,Nanya,,Nanya AF-37B,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Value M2U51264TU88A0F-3C,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-10,,Nanya,,Nanya AF-3C,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-667 Value M2U1G64TU8HA2F-3C,DIMM,Unbuffered,non-ECC,,,,,DDR2-667,5.0-5-5-10,,Nanya,,Nanya AF-3C,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-800 Value,DIMM,Unbuffered,non-ECC,,,,,DDR2-800,5.0-5-5-X,,Nanya,,,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
