model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1333KTW149-ELF (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BFBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333KVR1333D3E9S/1G (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BDBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333KVR1333D3N9/2G (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333KVR1333D3N9/4G (4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BCSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333KVR1333D3N9K3/6G (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 Value Low ProfileKVR1333D3N9K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BFSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 Value Low ProfileKVR1333D3N9K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Powerchip,,Powerchip RHE437A3G-P,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 Value Low-ProfileKVR1333D3E9SK2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BFBG-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 ValueRAM KVR1333D3N9/1G (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Elpida,,Elpida BABG-DJ-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-11000 HyperX KHX11000D3LLK2/1G (2x512MB),DIMM,Unbuffered,non-ECC,,,,1.7,PC3-11000,7-7-7-20,,Elpida,,Elpida BASE-AE-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-11000 HyperX KHX11000D3LLK2/2G (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.7,PC3-11000,7-7-7-20,,Elpida,,Elpida BASE-AE-E,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX KHX1600C9D3K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,9-9-9-27,,Elpida,,Elpida BDBG,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX KHX1600C9D3K3/12GX (3x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-1600,9-9-9-27,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83AFR,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX Beast KHX16C9T3K2/16X (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,DDR3-1600,9-9-9-27,,Nanya,,Nanya NT5CC512M8BN-DI,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX BlackKHX16C10B1BK2/16 (2x8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,DDR3-1600,10-10-10-27,,Nanya,,Nanya NT5CC512M8BN-DI,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX BluKHX1600C9AD3B1K2/4G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,9-9-9-27,,Elpida,,Elpida BFSE-DJ-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX Blu RedKHX1600C9D3B1RK2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-1600,9-9-9-27,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX LoVoKHX1600C9D3LK2/4GX (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.35V,DDR3-1600,9-9-9-27,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX LoVoKHX1600C9D3LK2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.35V,DDR3-1600,9-9-9-X,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 HyperX LoVoKHX1600C9D3LK2/8GX (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.35V,DDR3-1600,9-9-9-X,,hynix/SK hynix,,hynix/SK hynix H5TC2G83CFR-H9A,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 ValueRAM KVR16N11/4 (1x4GB),DIMM,Unbuffered,non-ECC,,,,1.5V,DDR3-1600,11-11-11-XX,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83CFR-PBC,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 ValueRAM ECCKVR16E11K4/16I (4x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1600,11-11-11-28,,Elpida,,Elpida J2108EDBG-GN-F,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 HyperX KHX14400D3/1G,DIMM,Unbuffered,non-ECC,,,,1.9V,DDR3-1800,8-8-8-24,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 HyperX KHX14400D3K2/2G (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1800,8-8-8-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1800 HyperX Intel XMP CertifiedKHX14400D3K2/2GX (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-1800,8-8-8-24,,Micron,,Micron D9GTR (BY-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
