model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
DDR3-1333 CT102464BA1339.M16FDD (8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,,Micron D9PCP (RA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT12864BA1339.8SFB (1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Micron,,Micron D9GTS (BY-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT25664BA1339.16SFD (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Micron,,Micron D9JNM (HX-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT25664BA1339.8FD (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,,Micron D9LGK (HX-15E 2Gbit),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT2KIT51264BA1339,DIMM,Unbuffered,non-ECC,,,,1.5V,DDR3-1333,9-X-X-X,,Micron,,Micron D9KLV (JE-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT3KIT12864BA1339 (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,,Micron D9JNM,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT3KIT12864BA1339.8SFD (3x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.5V,DDR3-1333,9-9-9-24,,Micron,,Micron D9JNL (HX-187E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1333 CT51264BA1339 (4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1333,9-X-X-X,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 CT102464BD160B.M16FED (8GB),DIMM,Unbuffered,non-ECC,8 GiB,,,1.35V,DDR3-1600,11-X-X-X,,Micron,,Micron D9QBJ (RH-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 CT2KIT51264BD160B (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.35V,DDR3-1600,11-X-X-X,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ballistix BL25664BN1608.16FF (2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ballistix (finned heatspreader) BL25664FN1608.16FF (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ballistix Tactical BLT2KIT4G3D1869DT1TX0 (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1600,9-9-9-27,,Micron,,Micron D9PFJ (DA-125),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Ballistix Tracer Green BL25664TG1608.K16SF (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Samsung,,Samsung HCF0,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1600 Smart Ballistix Tracer BL25664ST1608OB.16FF (3x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-1600,8-8-8-24,,Micron,,Micron D9KPT (JP-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-1866 Ballistix Tactical Tracer BLT4G3D1869DT2TXOB.16FKD (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.5V,DDR3-1866,9-9-9-27,,Micron,,Micron D9QMS (DA-15E:K),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 BL2KIT12864BE2009 (2x1GB),DIMM,Unbuffered,non-ECC,1 GiB,,,1.9V,DDR3-2000,9-9-9-28,,Micron,,Micron D9GTS (BY-15E),N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2000 Ballistix (finned heatspreader)BL51264FN2001 (1x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2000,9-11-9-X,,hynix/SK hynix,,hynix/SK hynix H5TQ2G83BFR H9C,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2133 Ballistix (finned heatspreader) BL25664FN2139 (1x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.65v,DDR3-2133,9-10-9-24,,Powerchip,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
DDR3-2133 Ballistix Elite BLE2KIT4G3D213ACE1TX0 (2x4GB),DIMM,Unbuffered,non-ECC,4 GiB,,,1.65v,DDR3-2133,9-11-10-27,,Samsung,,Samsung K4B2G0846D HCH9,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
