file,brand
"ddr3_adata.csv","ADATA"
"ddr3_apacer.csv","Apacer"
"ddr3_avexir.csv","Avexir"
"ddr3_buffalo.csv","Buffalo"
"ddr3_cellshock.csv","Cellshock"
"ddr3_chaintech.csv","Chaintech"
"ddr3_corsair.csv","Corsair"
"ddr3_crucial.csv","Crucial Technology (Micron)"
"ddr3_csx.csv","CSX"
"ddr3_dsl.csv","Data Specialites"
"ddr3_elpida.csv","Elpida"
"ddr3_essencore.csv","ESSENCORE (SK hynix/SK Group)"
"ddr3_excelram.csv","EXCELRAM"
"ddr3_gskill.csv","G.Skill"
"ddr3_geil.csv","GeIL"
"ddr3_skhynix.csv","hynix/SK hynix"
"ddr3_kingmax.csv","Kingmax"
"ddr3_kingston.csv","Kingston Technology"
"ddr3_mach.csv","Mach Technology"
"ddr3_micron.csv","Micron Technology"
"ddr3_mushkin.csv","Mushkin"
"ddr3_nanya.csv","Nanya Technology"
"ddr3_ocz.csv","OCZ Technology"
"ddr3_patriot.csv","Patriot Memory"
"ddr3_pny.csv","PNY"
"ddr3_qimonda.csv","Qimonda"
"ddr3_samsung.csv","Samsung Electronics"
"ddr3_supertalent.csv","Super Talent"
"ddr3_team.csv","Team Group"
"ddr3_transcend.csv","Transcend"
"ddr3_winchip.csv","Winchip"
"ddr3_wintec.csv","WINTEC"
