model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
RUD408GS2666CI12,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2666,18-18-18-40,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
RUD404GS2400CG12,DIMM,Unbuffered,non-ECC,4 GiByte,1Rx8,4 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
RUD408GS2400CG12,DIMM,Unbuffered,non-ECC,8 GiByte,1Rx8,8 Gibit,1.2v,DDR4-2400,16-16-16-36,,,,,N/A,,,,https://download.gigabyte.com/FileList/Memory/mb_memory_b550-aorus-pro-v2_vermeer_210224.pdf [PDF]
