title,width,ydata
"Model","10%","model"
"Form factor","5%","formf"
"Formatted capacity","5%","formc"
"Interface","5%","inter"
"Rated power input","5%","pwrin"
"Controller","10%","ctrlm"
"Memory (RAM Cache) capacity","5%","memca"
"Memory (RAM Cache) ICs","10%","memic"
"Flash IC (SSHD only)","10%","flsic"
"Platter speed","5%","plspd"
"Sector size","5%","plscs"
"Platter count","5%","plscn"
"Notes","10%","notes"
"Source","10%","insrc"


