"model","mdtyp","rgtyp","errcd","mdcap","orgzn","iccap","icvlt","rtdsp","tming","icpkg","icmfg","icbnd","icmdl","rgvnd","flvnd","mpmic","pcvnd","notes","insrc"
"HMCG66MEBUA081N","DIMM","Unbuffered","non-ECC","8 GByte","1Rx16","16 Gbit",,"DDR5-4800",,,"SK hynix","SK hynix","H5CG46MEBDX015 (M-die)","N/A",,"Renesas B0","Raw Card: C0","Date code on Intel's unit: 2127","Tom's Hardware, from released Intel document: https://www.tomshardware.com/news/intel-ddr5-4800-ram-alder-lake-cpus"
"HMCG78MEBUA081N","DIMM","Unbuffered","non-ECC","16 GByte","1Rx8","16 Gbit",,"DDR5-4800",,,"SK hynix","SK hynix","H5CG48MEBDX014 (M-die)","N/A",,"Renesas B0","Raw Card: A0","Date code on Intel's unit: 2127","Tom's Hardware, from released Intel document: https://www.tomshardware.com/news/intel-ddr5-4800-ram-alder-lake-cpus"
"HMCG88MEBUA081N","DIMM","Unbuffered","non-ECC","32 GByte","2Rx8","16 Gbit",,"DDR5-4800",,,"SK hynix","SK hynix","H5CG48MEBDX014 (M-die)","N/A",,"Renesas B0","Raw Card: B0","Date code on Intel's unit: 2127","Tom's Hardware, from released Intel document: https://www.tomshardware.com/news/intel-ddr5-4800-ram-alder-lake-cpus"
"HMCG78AGBUA081N BA","DIMM","Unbuffered","non-ECC","16 GByte","1Rx16","16 Gbit",,"DDR5-5600",,,,,"H5CG48AGBDX018 (A-die)","N/A","Montage Technology STA521E381","Renesas P8911Y0","JEDEC A0",,"igor'sLAB: https://www.igorslab.de/en/second-generation-ddr5-ic-sk-hynix-16-gbit-a-die-2x-16-gb-modules-review-with-overclocking-and-gaming-benchmarks/"
"HMCG66AGBUA081N","DIMM","Unbuffered","non-ECC","8 GiByte","1Rx16","16 Gibit","1.1v","DDR5-5600","46-45-45-90",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
"HMCG78AEBUA084N","DIMM","Unbuffered","non-ECC","16 GiByte","1Rx8","16 Gibit","1.1v","DDR5-4800","40-39-39-77",,"SK hynix","SK hynix",,"N/A",,,,,"Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup"
