model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
Patriot XBL PC3200 (2.0-2-2-5-1T) PEP5123200XBL / PDC1G3200XBLK,DIMM,Unbuffered,non-ECC,512MByte/1GByte,,,,PC3200,2.0-2-2-5-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Patriot LL PC3200 (2.0-3-2-5-1T) PEP1G3200LL / PDC2G3200LLK,DIMM,Unbuffered,non-ECC,1GByte/2GByte,,,,PC3200,2.0-3-2-5-1T,,Infineon,,"Infineon BE-5, Infineon BE-6, Infineon CE-6",N/A,,Brainpower PCB,Capacity from part number,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Patriot EP PC4000 (3.0-4-4-8-1T) PEP5124000EL / PDC1G4000ELK,DIMM,Unbuffered,non-ECC,512MByte/1GByte,,,,PC4000,3.0-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,Capacity from part number,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
Patriot XBL PC4800 (2.5-4-4-8-1T) PEP5124800XBL / PDC1G4800XBLK,DIMM,Unbuffered,non-ECC,,,,,PC4800,2.5-4-4-8-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,Capacity from part number,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
