model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3200U-25330-A1,DIMM,Unbuffered,non-ECC,256 MByte,"2Rx8, 16 ICs",128 Mbit,,PC3200,CL2.5,,Micron,,Micron MEH5608A8A-5B,N/A,,,"ICs have no original mfg markings, just buffalo. Kris confirmed IC.",Kris
PC3200,DIMM,Unbuffered,non-ECC,,,,,PC3200,,,Micron,,"may or may not contain Micron 46V32M8 -5B C, 46V32M8 - 5B G look at the chips",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC3200 Value,DIMM,Unbuffered,non-ECC,,,,,PC3200,,,Winbond,,Winbond UTT,N/A,,,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PC3700,DIMM,Unbuffered,non-ECC,,,,,PC3700,,,Micron,,"May or may not contain Winbond BH-5, Winbond CH-5, Micron 46V32M8 -5B C",N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
FireStix PC3200 CL2,DIMM,Unbuffered,non-ECC,,,,,PC3200,2-2-2-4,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
FireStix PC4000,DIMM,Unbuffered,non-ECC,,,,,PC4000,,,hynix,,hynix B,N/A,,,,https://forums.extremeoverclocking.com/showthread.php?t=91533 extremeoverclocking.com and https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
