model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PQI Turbo Memory Black Mirrored R3 PC3200 (2.0-2-2-5-1T),DIMM,Unbuffered,non-ECC,,,,,PC3200,2.0-2-2-5-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PQI Turbo Memory Black Mirrored R2 PC4000 (2.5-3-3-7-1T),DIMM,Unbuffered,non-ECC,,,,,PC4000,2.5-3-3-7-1T,,Samsung,,Samsung TCCD,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
PQI Turbo Memory PC4400 (3.0-4-4-8-1T),DIMM,Unbuffered,non-ECC,,,,,,3.0-4-4-8-1T,,hynix,,hynix  D5,N/A,,Brainpower PCB,,https://web.archive.org/web/20160530022939/http://ramlist.i4memory.com/ddr/ i4memory RAM List
