model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
PC3-10666 Firestix PYRO FSX1333D3G-2G (2x2GB),DIMM,Unbuffered,non-ECC,2 GiB,,,1.7,PC3-10666,7-7-7-20,,Samsung,,Samsung K4B1G08460 HCH9,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
PC3-8500,DIMM,Unbuffered,non-ECC,,,,,PC3-8500,,,Elpida,,,N/A,,,,https://web.archive.org/web/20160515160658/http://ramlist.i4memory.com:80/ddr3/
