model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
M386A8K40CM2-CVF,DIMM,Load-Reduced Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M386AAK40B40-CUC,DIMM,Load-Reduced Registered,ECC,128 GiByte,"8Rx4, 36 ICs, Quad-die package",8 Gbit x 4 dies,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M392A2K43BB0-CPB,DIMM,Registered,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022, VLP DIMM form factor","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M392A2K43BB0-CRC,DIMM,Registered,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022, VLP DIMM form factor","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M392A4K40BM0-CPB,DIMM,Registered,ECC,32 GiByte,"2Rx4, 36 ICs, Single-die package",8 Gbit,1.2 V,2133 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022, VLP DIMM form factor","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M392A4K40BM0-CRC,DIMM,Registered,ECC,32 GiByte,"2Rx4, 36 ICs, Single-die package",8 Gbit,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),"EOL, last checked: September 14, 2022, VLP DIMM form factor","Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A2K40CB2-CVF,DIMM,Registered,ECC,16 GiByte,"1Rx4, 18 ICs, Single-die package",8 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A2K43CB2-CVF,DIMM,Registered,ECC,16 GiByte,"2Rx8, 18 ICs, Single-die package",8 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A4K40CB2-CVF,DIMM,Registered,ECC,32 GiByte,"2Rx4, 36 ICs, Single-die package",8 Gbit,1.2 V,2933 MT/s,,,Samsung,Samsung,Samsung C-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
M393A8K40B2B-CTC,DIMM,Registered,ECC,64 GiByte,"4Rx4, 36 ICs, Dual-die package",8 Gbit x 2 dies,1.2 V,2400 MT/s,,,Samsung,Samsung,Samsung B-die (from part number),,,Samsung (presumed),,"Samsung Semiconductor website: https://semiconductor.samsung.com/dram/module/ Information from exported table as of September 14, 2022"
