model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,pcvnd,notes,insrc
HYS64T64020HDL-3S-B,SODIMM,Unbuffered,non-ECC,512 Mbyte,"2Rx16, 8 ICs",512 Mbit,,DDR2-667,CL5-5-5-12,,Qimonda,Qimonda,"HYB18T512160BF-3S B-die (Die code: 86510204, Date code: 0802, Revision: B)",N/A,,,"Label text other than model no.: Assembled in China, 512MB 2Rx16 DDR2-667S-555-12-A0, B6D80215042, Lead-free mark","Kris (Pictures, IC indentification, Timings), CrazyblocksTechnologies Computer Laboratories (Confirmation, label info)"
DDR2-533 Value HYS64T32000HU-3.7-A,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-11,,Infineon,,Infineon AF-37,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 Value HYS64T32000GU-3.7-A,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-11,,Infineon,,Infineon AC-37,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
DDR2-533 Value HYS64T64000GU-3.7-A,DIMM,Unbuffered,non-ECC,,,,,DDR2-533,4.0-4-4-11,,Infineon,,Infineon AC-37,N/A,,,,https://web.archive.org/web/20160322194238/http://ramlist.i4memory.com/ddr2/ i4memory RAM List
