file,brand
ddr2_adata.csv,ADATA
ddr2_apacer.csv,Apacer
ddr2_buffalo.csv,Buffalo
ddr2_cellshock.csv,Cellshock
ddr2_centon.csv,Centon
ddr2_century.csv,Century
ddr2_cfd.csv,CFD
ddr2_corsair.csv,Corsair
ddr2_crucial.csv,Crucial (Micron)
ddr2_csx.csv,CSX
ddr2_dane-elec.csv,Dane-Elec
ddr2_dsl.csv,Data Specialities
ddr2_elixir.csv,elixir (Nanya)
ddr2_geil.csv,GeIL
ddr2_gskill.csv,G.Skill
ddr2_hynix.csv,hynix
ddr2_kingmax.csv,Kingmax
ddr2_kingston.csv,Kingston Technology
ddr2_komputerbay.csv,Komputerbay
ddr2_micron.csv,Micron Technology
ddr2_mushkin.csv,Mushkin
ddr2_ocz.csv,OCZ
ddr2_patriot.csv,Patriot Memory
ddr2_pqi.csv,PQI
ddr2_qimonda.csv,Qimonda/Infineon Technologies
ddr2_rhino.csv,Rhino
ddr2_samsung.csv,Samsung Electronics
ddr2_sanmax.csv,SanMax Technologies
ddr2_supertalent.csv,Super Talent
ddr2_team.csv,Team Group
ddr2_transcend.csv,Transcend
ddr2_twinmos.csv,TwinMOS
ddr2_winchip.csv,Winchip Technologeis
ddr2_wintec.csv,WINTEC Technology 
