title,width,ydata
"Model","11%","model"
"Form factor","5%","formf"
"Formatted capacity","5%","formc"
"Interface","5%","inter"
"Rated power input","5%","pwrin"
"Controller","10%","ctrlm"
"Controller configuration","5%","ctrlc"
"Memory (RAM Cache) ICs","10%","memic"
"Flash IC specs","5%","flics"
"Flash IC brand","5%","flicb"
"Flash IC vendor","5%","flicv"
"Flash IC model","5%","flicm"
"Notes","12%","notes"
"Source","12%","insrc"


